id, version, date, weathercitycode, weathertype, high, low, wind, icon, isnight, issuetime
"402881e722964d2c012296549c60006d","0","2009-07-23","54811","Very Hot","33","20"," N 23km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c60006e","0","2009-07-24","54811","Very Hot","34","20"," N 13km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c60006f","0","2009-07-25","54811","Partly Cloudy","32","22"," SSE 11km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c600070","0","2009-07-26","54811","Very Hot","36","21"," WNW 16km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c600071","0","2009-07-20","54833","30% Chance Rain Shower","30","28"," S 31km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c600072","0","2009-07-21","54833","30% Chance Rain Shower","30","28"," SSE 23km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c600073","0","2009-07-22","54833","Hot and Humid","29","28"," S 24km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c600074","0","2009-07-23","54833","Hot and Humid","29","28"," SSW 21km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c600075","0","2009-07-24","54833","30% Chance Rain Shower","29","29"," SW 24km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c600076","0","2009-07-25","54833","Hot and Humid","30","29"," S 23km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c600077","0","2009-07-26","54833","Hot and Humid","30","29"," SSW 21km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c600078","0","2009-07-20","54835","50% Chance of Rain","36","24"," NE 11km/h","cond089.gif","false","12:00"
"402881e722964d2c012296549c600079","0","2009-07-21","54835","40% Chance of Storms","33","25"," SSE 14km/h","cond094.gif","false","12:00"
"402881e722964d2c012296549c60007a","0","2009-07-22","54835","40% Chance of Storms","33","23"," S 21km/h","cond094.gif","false","12:00"
"402881e722964d2c012296549c60007b","0","2009-07-23","54835","40% Chance of Storms","33","20"," S 10km/h","cond094.gif","false","12:00"
"402881e722964d2c012296549c60007c","0","2009-07-24","54835","Hazy","30","20"," NE 18km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c60007d","0","2009-07-25","54835","Very Hot","31","20"," NE 11km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c60007e","0","2009-07-26","54835","Heavy Rain","19","18"," SE 21km/h","cond063.gif","false","12:00"
"402881e722964d2c012296549c60007f","0","2009-07-20","54842","Hot and Humid","37","29"," WSW 24km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c600080","0","2009-07-21","54842","30% Chance Rain Shower","35","27"," WSW 31km/h","cond108.gif","false","12:00"
"402881e722964d2c012296549c600081","0","2009-07-22","54842","Rain","28","25"," NNE 13km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c600082","0","2009-07-23","54842","Rain","28","25"," W 14km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c600083","0","2009-07-24","54842","Hot and Humid","31","23"," NE 18km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c600084","0","2009-07-25","54842","Hazy","30","23"," NE 14km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c600085","0","2009-07-26","54842","Hazy","28","23"," SE 13km/h","cond023.gif","false","12:00"
"402881e722964d2c012296549c600086","0","2009-07-20","54843","Rain","25","20"," WSW 19km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c600087","0","2009-07-21","54843","Partly Cloudy","26","19"," NNW 18km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c600088","0","2009-07-22","54843","Partly Cloudy","28","20"," NNW 11km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c600089","0","2009-07-23","54843","Rain","26","17"," SSW 11km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c60008a","0","2009-07-24","54843","Rain","20","18"," SE 11km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c60008b","0","2009-07-25","54843","Mostly Cloudy","22","17"," NNE 14km/h","cond024.gif","false","12:00"
"402881e722964d2c012296549c60008c","0","2009-07-26","54843","Partly Cloudy","26","18"," ENE 6km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c60008d","0","2009-07-20","54847","Rain","22","19"," ESE 16km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c60008e","0","2009-07-21","54847","Windy","27","19"," SSW 34km/h","cond050.gif","false","12:00"
"402881e722964d2c012296549c60008f","0","2009-07-22","54847","Partly Cloudy","31","20"," SW 29km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c600090","0","2009-07-23","54847","Partly Cloudy","28","22"," WNW 16km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c600091","0","2009-07-24","54847","Partly Cloudy","28","23"," NNW 14km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c600092","0","2009-07-25","54847","40% Chance Rain Shower","24","22"," SSE 11km/h","cond109.gif","false","12:00"
"402881e722964d2c012296549c600093","0","2009-07-26","54847","Very Hot","32","21"," NNW 10km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c600094","0","2009-07-20","54852","Rain","33","26"," SW 24km/h","cond005.gif","false","12:00"
"402881e722964d2c012296549c600095","0","2009-07-21","54852","Hot and Humid","35","27"," E 14km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c600096","0","2009-07-22","54852","30% Chance of Storms","35","27"," SSW 11km/h","cond093.gif","false","12:00"
"402881e722964d2c012296549c600097","0","2009-07-23","54852","Hot and Humid","35","24"," SSE 14km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c600098","0","2009-07-24","54852","Cloudy","29","22"," NNE 16km/h","cond001.gif","false","12:00"
"402881e722964d2c012296549c600099","0","2009-07-25","54852","Very Hot","31","22"," NE 16km/h","cond065.gif","false","12:00"
"402881e722964d2c012296549c60009a","0","2009-07-26","54852","Partly Cloudy","31","22"," SSE 10km/h","cond003.gif","false","12:00"
"402881e722964d2c012296549c60009b","0","2009-07-20","54878","30% Chance of Storms","35","27"," SW 16km/h","cond093.gif","false","12:00"
"402881e722964d2c012296549c60009c","0","2009-07-21","54878","Hot and Humid","36","27"," ESE 14km/h","cond064.gif","false","12:00"
"402881e722964d2c012296549c60009d","0","2009-07-22","54878","Rain","36","27"," SSW 16km/h","cond005.gif","false","12:00"
